Time,Image,ParentImage,CommandLine,User,ProcessGuid,ParentProcessGuid
"2024-09-09 21:49:47","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-eeeb-66de-8d00-000000000400}","{30f6f5d4-eeea-66de-8b00-000000000400}"
"2024-09-09 21:49:39","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-eee3-66de-8800-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:49:34","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-eed7-66de-8300-000000000400}","{30f6f5d4-eed6-66de-8200-000000000400}"
"2024-09-09 21:49:28","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-eec5-66de-7e00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:49:23","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-eeaa-66de-7100-000000000400}","{30f6f5d4-ee97-66de-4400-000000000400}"
"2024-09-09 21:49:21","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe","C:\Windows\system32\wbem\wmiprvse.exe -Embedding","NT AUTHORITY\SYSTEM","{30f6f5d4-eeab-66de-7400-000000000400}","{30f6f5d4-ee8f-66de-0f00-000000000400}"
"2024-09-09 21:49:21","C:\Windows\System32\svchost.exe","C:\Windows\System32\services.exe","C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc","DESKTOP-0B7RNLE\win10","{30f6f5d4-eeaa-66de-7000-000000000400}","{30f6f5d4-ee8f-66de-0b00-000000000400}"
"2024-09-09 21:49:21","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe","C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding","NT AUTHORITY\NETWORK SERVICE","{30f6f5d4-eea9-66de-6f00-000000000400}","{30f6f5d4-ee8f-66de-0f00-000000000400}"
"2024-09-09 21:49:21","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-eea7-66de-6e00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:49:20","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-eea6-66de-6d00-000000000400}","{30f6f5d4-eea6-66de-6c00-000000000400}"
"2024-09-09 21:49:11","C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe","C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe",""C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe" --type=crashpad-handler /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Windows\TEMP\Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=128.0.6613.120 --initial-client-data=0x2b8,0x2bc,0x2c0,0x294,0x2c4,0x7ff6930346b8,0x7ff6930346c4,0x7ff6930346d0","DESKTOP-0B7RNLE\win10","{30f6f5d4-eea5-66de-6b00-000000000400}","{30f6f5d4-eea4-66de-6900-000000000400}"
"2024-09-09 21:49:10","C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe","C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe",""C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe" --type=crashpad-handler /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Windows\TEMP\Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=128.0.6613.120 --initial-client-data=0x2b8,0x2bc,0x2c0,0x294,0x2c4,0x7ff6930346b8,0x7ff6930346c4,0x7ff6930346d0","DESKTOP-0B7RNLE\win10","{30f6f5d4-eea4-66de-6700-000000000400}","{30f6f5d4-eea4-66de-6600-000000000400}"
"2024-09-09 21:49:10","C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe","C:\Windows\explorer.exe",""C:\Program Files\Google\Chrome\Application\128.0.6613.120\Installer\chrmstp.exe" --configure-user-settings --verbose-logging --system-level","DESKTOP-0B7RNLE\win10","{30f6f5d4-eea4-66de-6600-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:09","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-eea1-66de-6500-000000000400}","{30f6f5d4-eea1-66de-6400-000000000400}"
